    Feet      Inch       Meter    Centimeter   Millimeter
       1     12.00        0.31         30.50       305.00 
       2     24.00        0.61         61.00       610.00 
       3     36.00        0.92         91.50       915.00 
       4     48.00        1.22        122.00      1220.00 
       5     60.00        1.53        152.50      1525.00 
       6     72.00        1.83        183.00      1830.00 
       7     84.00        2.14        213.50      2135.00 
       8     96.00        2.44        244.00      2440.00 
       9    108.00        2.75        274.50      2745.00 
      10    120.00        3.05        305.00      3050.00 
      11    132.00        3.36        335.50      3355.00 
      12    144.00        3.66        366.00      3660.00 
      13    156.00        3.97        396.50      3965.00 
      14    168.00        4.27        427.00      4270.00 
      15    180.00        4.58        457.50      4575.00 
      16    192.00        4.88        488.00      4880.00 
      17    204.00        5.19        518.50      5185.00 
      18    216.00        5.49        549.00      5490.00 
      19    228.00        5.80        579.50      5795.00 
      20    240.00        6.10        610.00      6100.00 
